Entity,Code,Year,Palm Oil Production
Indonesia,IDN,1961,70000
Indonesia,IDN,1962,70000
Indonesia,IDN,1963,75000
Indonesia,IDN,1964,80000
Indonesia,IDN,1965,80000
Indonesia,IDN,1966,85000
Indonesia,IDN,1967,85000
Indonesia,IDN,1968,90000
Indonesia,IDN,1969,90000
Indonesia,IDN,1970,100000
Indonesia,IDN,1971,95000
Indonesia,IDN,1972,100000
Indonesia,IDN,1973,100000
Indonesia,IDN,1974,110000
Indonesia,IDN,1975,142000
Indonesia,IDN,1976,130000
Indonesia,IDN,1977,140000
Indonesia,IDN,1978,180000
Indonesia,IDN,1979,200000
Indonesia,IDN,1980,204000
Indonesia,IDN,1981,230000
Indonesia,IDN,1982,239700
Indonesia,IDN,1983,255300
Indonesia,IDN,1984,296300
Indonesia,IDN,1985,348700
Indonesia,IDN,1986,374100
Indonesia,IDN,1987,421600
Indonesia,IDN,1988,535000
Indonesia,IDN,1989,590000
Indonesia,IDN,1990,673033
Indonesia,IDN,1991,772245
Indonesia,IDN,1992,875100
Indonesia,IDN,1993,921000
Indonesia,IDN,1994,1045000
Indonesia,IDN,1995,1190000
Indonesia,IDN,1996,1428350
Indonesia,IDN,1997,1622503
Indonesia,IDN,1998,1795081
Indonesia,IDN,1999,1847000
Indonesia,IDN,2000,2014000
Indonesia,IDN,2001,2200000
Indonesia,IDN,2002,2790000
Indonesia,IDN,2003,3040000
Indonesia,IDN,2004,3320000
Indonesia,IDN,2005,3690000
Indonesia,IDN,2006,4110000
Indonesia,IDN,2007,4560000
Indonesia,IDN,2008,4980000
Indonesia,IDN,2009,5370000
Indonesia,IDN,2010,5780000
Indonesia,IDN,2011,6170000
Indonesia,IDN,2012,6650000
Indonesia,IDN,2013,7080000
Indonesia,IDN,2014,8150000
Indonesia,IDN,2015,8630000
Indonesia,IDN,2016,6781064
Indonesia,IDN,2017,6720770
Indonesia,IDN,2018,6777498
Malaysia,MYS,1961,43302
Malaysia,MYS,1962,46175
Malaysia,MYS,1963,49073
Malaysia,MYS,1964,52900
Malaysia,MYS,1965,59000
Malaysia,MYS,1966,67400
Malaysia,MYS,1967,78500
Malaysia,MYS,1968,99100
Malaysia,MYS,1969,125400
Malaysia,MYS,1970,149900
Malaysia,MYS,1971,184000
Malaysia,MYS,1972,235100
Malaysia,MYS,1973,278300
Malaysia,MYS,1974,329800
Malaysia,MYS,1975,385666
Malaysia,MYS,1976,454009
Malaysia,MYS,1977,521486
Malaysia,MYS,1978,603087
Malaysia,MYS,1979,670299
Malaysia,MYS,1980,777388
Malaysia,MYS,1981,848143
Malaysia,MYS,1982,888619
Malaysia,MYS,1983,1010879
Malaysia,MYS,1984,1072451
Malaysia,MYS,1985,1201010
Malaysia,MYS,1986,1360579
Malaysia,MYS,1987,1373147
Malaysia,MYS,1988,1530905
Malaysia,MYS,1989,1672096
Malaysia,MYS,1990,1746054
Malaysia,MYS,1991,2094028
Malaysia,MYS,1992,2197660
Malaysia,MYS,1993,2305925
Malaysia,MYS,1994,2411999
Malaysia,MYS,1995,2540087
Malaysia,MYS,1996,2692286
Malaysia,MYS,1997,2893089
Malaysia,MYS,1998,3078116
Malaysia,MYS,1999,3313393
Malaysia,MYS,2000,3376664
Malaysia,MYS,2001,3499012
Malaysia,MYS,2002,3670243
Malaysia,MYS,2003,3802040
Malaysia,MYS,2004,3875327
Malaysia,MYS,2005,4051374
Malaysia,MYS,2006,4165215
Malaysia,MYS,2007,4304913
Malaysia,MYS,2008,4487957
Malaysia,MYS,2009,4691160
Malaysia,MYS,2010,4853766
Malaysia,MYS,2011,5000109
Malaysia,MYS,2012,5076929
Malaysia,MYS,2013,5229739
Malaysia,MYS,2014,4689321
Malaysia,MYS,2015,4859397
Malaysia,MYS,2016,5001438
Malaysia,MYS,2017,5110713
Malaysia,MYS,2018,5235581
Philippines,PHL,1961,150
Philippines,PHL,1962,150
Philippines,PHL,1963,150
Philippines,PHL,1964,150
Philippines,PHL,1965,150
Philippines,PHL,1966,300
Philippines,PHL,1967,300
Philippines,PHL,1968,300
Philippines,PHL,1969,600
Philippines,PHL,1970,1100
Philippines,PHL,1971,1400
Philippines,PHL,1972,2700
Philippines,PHL,1973,3900
Philippines,PHL,1974,3900
Philippines,PHL,1975,5400
Philippines,PHL,1976,6000
Philippines,PHL,1977,6000
Philippines,PHL,1978,5500
Philippines,PHL,1979,6000
Philippines,PHL,1980,6200
Philippines,PHL,1981,6500
Philippines,PHL,1982,15000
Philippines,PHL,1983,10700
Philippines,PHL,1984,17000
Philippines,PHL,1985,17723
Philippines,PHL,1986,17000
Philippines,PHL,1987,15000
Philippines,PHL,1988,13000
Philippines,PHL,1989,12000
Philippines,PHL,1990,13000
Philippines,PHL,1991,14000
Philippines,PHL,1992,14000
Philippines,PHL,1993,15000
Philippines,PHL,1994,14000
Philippines,PHL,1995,14000
Philippines,PHL,1996,14000
Philippines,PHL,1997,14000
Philippines,PHL,1998,14000
Philippines,PHL,1999,15000
Philippines,PHL,2000,16000
Philippines,PHL,2001,16000
Philippines,PHL,2002,19987
Philippines,PHL,2003,20806
Philippines,PHL,2004,22211
Philippines,PHL,2005,25478
Philippines,PHL,2006,31444
Philippines,PHL,2007,36819
Philippines,PHL,2008,38599
Philippines,PHL,2009,41444
Philippines,PHL,2010,45044
Philippines,PHL,2011,49328
Philippines,PHL,2012,53015
Philippines,PHL,2013,53856
Philippines,PHL,2014,55083
Philippines,PHL,2015,59754
Philippines,PHL,2016,60069
Philippines,PHL,2017,60069
Philippines,PHL,2018,62671
Thailand,THA,1961,950
Thailand,THA,1962,950
Thailand,THA,1963,950
Thailand,THA,1964,950
Thailand,THA,1965,950
Thailand,THA,1966,950
Thailand,THA,1967,950
Thailand,THA,1968,950
Thailand,THA,1969,950
Thailand,THA,1970,950
Thailand,THA,1971,950
Thailand,THA,1972,950
Thailand,THA,1973,1800
Thailand,THA,1974,1800
Thailand,THA,1975,5100
Thailand,THA,1976,3440
Thailand,THA,1977,3760
Thailand,THA,1978,5616
Thailand,THA,1979,7616
Thailand,THA,1980,11136
Thailand,THA,1981,15104
Thailand,THA,1982,24752
Thailand,THA,1983,36272
Thailand,THA,1984,45280
Thailand,THA,1985,53255
Thailand,THA,1986,59981
Thailand,THA,1987,69158
Thailand,THA,1988,82774
Thailand,THA,1989,90880
Thailand,THA,1990,96000
Thailand,THA,1991,103108
Thailand,THA,1992,105908
Thailand,THA,1993,133452
Thailand,THA,1994,139160
Thailand,THA,1995,153422
Thailand,THA,1996,166915
Thailand,THA,1997,177492
Thailand,THA,1998,205489
Thailand,THA,1999,215220
Thailand,THA,2000,230053
Thailand,THA,2001,242852
Thailand,THA,2002,263018
Thailand,THA,2003,287903
Thailand,THA,2004,309165
Thailand,THA,2005,324193
Thailand,THA,2006,379872
Thailand,THA,2007,426120
Thailand,THA,2008,461555
Thailand,THA,2009,510003
Thailand,THA,2010,541569
Thailand,THA,2011,570474
Thailand,THA,2012,592081
Thailand,THA,2013,603700
Thailand,THA,2014,643811
Thailand,THA,2015,648198
Thailand,THA,2016,649849
Thailand,THA,2017,722365
Thailand,THA,2018,710103
World,OWID_WRL,1961,3621037
World,OWID_WRL,1962,3422412
World,OWID_WRL,1963,3517630
World,OWID_WRL,1964,3540825
World,OWID_WRL,1965,3617385
World,OWID_WRL,1966,3523670
World,OWID_WRL,1967,3081995
World,OWID_WRL,1968,3185274
World,OWID_WRL,1969,3295732
World,OWID_WRL,1970,3263027
World,OWID_WRL,1971,3311979
World,OWID_WRL,1972,3210852
World,OWID_WRL,1973,3263026
World,OWID_WRL,1974,3498230
World,OWID_WRL,1975,3539154
World,OWID_WRL,1976,3593114
World,OWID_WRL,1977,3722319
World,OWID_WRL,1978,3718311
World,OWID_WRL,1979,4155088
World,OWID_WRL,1980,4276828
World,OWID_WRL,1981,4077535
World,OWID_WRL,1982,4190963
World,OWID_WRL,1983,4225265
World,OWID_WRL,1984,4668824
World,OWID_WRL,1985,4898899
World,OWID_WRL,1986,5146653
World,OWID_WRL,1987,5301514
World,OWID_WRL,1988,5577146
World,OWID_WRL,1989,5857284
World,OWID_WRL,1990,6115211
World,OWID_WRL,1991,6804335
World,OWID_WRL,1992,7197393
World,OWID_WRL,1993,7533612
World,OWID_WRL,1994,7858343
World,OWID_WRL,1995,8358624
World,OWID_WRL,1996,8819358
World,OWID_WRL,1997,9231671
World,OWID_WRL,1998,9637496
World,OWID_WRL,1999,10004661
World,OWID_WRL,2000,10386924
World,OWID_WRL,2001,10856276
World,OWID_WRL,2002,11679813
World,OWID_WRL,2003,12283549
World,OWID_WRL,2004,12798576
World,OWID_WRL,2005,13460999
World,OWID_WRL,2006,13859768
World,OWID_WRL,2007,14566794
World,OWID_WRL,2008,15368615
World,OWID_WRL,2009,16158445
World,OWID_WRL,2010,16878176
World,OWID_WRL,2011,17543879
World,OWID_WRL,2012,18266282
World,OWID_WRL,2013,18657777
World,OWID_WRL,2014,19414980
World,OWID_WRL,2015,20263351
World,OWID_WRL,2016,18560904
World,OWID_WRL,2017,18744464
World,OWID_WRL,2018,18917400
