,Entity,Code,Year,type,count
9655,World,OWID_WRL,1961,Food,4202000
9656,World,OWID_WRL,1962,Food,4281000
9657,World,OWID_WRL,1963,Food,4619000
9658,World,OWID_WRL,1964,Food,4857000
9659,World,OWID_WRL,1965,Food,4391000
9660,World,OWID_WRL,1966,Food,5487000
9661,World,OWID_WRL,1967,Food,5758000
9662,World,OWID_WRL,1968,Food,5620000
9663,World,OWID_WRL,1969,Food,5485000
9664,World,OWID_WRL,1970,Food,5958000
9665,World,OWID_WRL,1971,Food,6172000
9666,World,OWID_WRL,1972,Food,5637000
9667,World,OWID_WRL,1973,Food,6365000
9668,World,OWID_WRL,1974,Food,6051000
9669,World,OWID_WRL,1975,Food,5963000
9670,World,OWID_WRL,1976,Food,5900000
9671,World,OWID_WRL,1977,Food,5795000
9672,World,OWID_WRL,1978,Food,5937000
9673,World,OWID_WRL,1979,Food,6005000
9674,World,OWID_WRL,1980,Food,6513000
9675,World,OWID_WRL,1981,Food,6691000
9676,World,OWID_WRL,1982,Food,6478000
9677,World,OWID_WRL,1983,Food,6370000
9678,World,OWID_WRL,1984,Food,6390000
9679,World,OWID_WRL,1985,Food,6298000
9680,World,OWID_WRL,1986,Food,6921000
9681,World,OWID_WRL,1987,Food,7304000
9682,World,OWID_WRL,1988,Food,7402000
9683,World,OWID_WRL,1989,Food,7173000
9684,World,OWID_WRL,1990,Food,7436000
9685,World,OWID_WRL,1991,Food,6483000
9686,World,OWID_WRL,1992,Food,7293000
9687,World,OWID_WRL,1993,Food,8383000
9688,World,OWID_WRL,1994,Food,9557000
9689,World,OWID_WRL,1995,Food,8816000
9690,World,OWID_WRL,1996,Food,9028000
9691,World,OWID_WRL,1997,Food,10410000
9692,World,OWID_WRL,1998,Food,9002000
9693,World,OWID_WRL,1999,Food,7940000
9694,World,OWID_WRL,2000,Food,8558000
9695,World,OWID_WRL,2001,Food,8528000
9696,World,OWID_WRL,2002,Food,8190000
9697,World,OWID_WRL,2003,Food,8381000
9698,World,OWID_WRL,2004,Food,8513000
9699,World,OWID_WRL,2005,Food,9185000
9700,World,OWID_WRL,2006,Food,9215000
9701,World,OWID_WRL,2007,Food,9399000
9702,World,OWID_WRL,2008,Food,9470000
9703,World,OWID_WRL,2009,Food,9560000
9704,World,OWID_WRL,2010,Food,9915000
9705,World,OWID_WRL,2011,Food,10034000
9706,World,OWID_WRL,2012,Food,10575000
9707,World,OWID_WRL,2013,Food,10649000
19552,World,OWID_WRL,1961,Feed,368000
19553,World,OWID_WRL,1962,Feed,440000
19554,World,OWID_WRL,1963,Feed,498000
19555,World,OWID_WRL,1964,Feed,487000
19556,World,OWID_WRL,1965,Feed,531000
19557,World,OWID_WRL,1966,Feed,759000
19558,World,OWID_WRL,1967,Feed,690000
19559,World,OWID_WRL,1968,Feed,825000
19560,World,OWID_WRL,1969,Feed,756000
19561,World,OWID_WRL,1970,Feed,607000
19562,World,OWID_WRL,1971,Feed,860000
19563,World,OWID_WRL,1972,Feed,710000
19564,World,OWID_WRL,1973,Feed,807000
19565,World,OWID_WRL,1974,Feed,776000
19566,World,OWID_WRL,1975,Feed,778000
19567,World,OWID_WRL,1976,Feed,926000
19568,World,OWID_WRL,1977,Feed,1119000
19569,World,OWID_WRL,1978,Feed,1100000
19570,World,OWID_WRL,1979,Feed,1054000
19571,World,OWID_WRL,1980,Feed,1242000
19572,World,OWID_WRL,1981,Feed,1301000
19573,World,OWID_WRL,1982,Feed,1433000
19574,World,OWID_WRL,1983,Feed,1572000
19575,World,OWID_WRL,1984,Feed,1825000
19576,World,OWID_WRL,1985,Feed,2148000
19577,World,OWID_WRL,1986,Feed,2365000
19578,World,OWID_WRL,1987,Feed,2992000
19579,World,OWID_WRL,1988,Feed,3438000
19580,World,OWID_WRL,1989,Feed,3604000
19581,World,OWID_WRL,1990,Feed,3580000
19582,World,OWID_WRL,1991,Feed,3804000
19583,World,OWID_WRL,1992,Feed,3682000
19584,World,OWID_WRL,1993,Feed,4259000
19585,World,OWID_WRL,1994,Feed,4136000
19586,World,OWID_WRL,1995,Feed,3747000
19587,World,OWID_WRL,1996,Feed,3725000
19588,World,OWID_WRL,1997,Feed,4249000
19589,World,OWID_WRL,1998,Feed,4216000
19590,World,OWID_WRL,1999,Feed,5434000
19591,World,OWID_WRL,2000,Feed,5728000
19592,World,OWID_WRL,2001,Feed,6204000
19593,World,OWID_WRL,2002,Feed,6311000
19594,World,OWID_WRL,2003,Feed,7374000
19595,World,OWID_WRL,2004,Feed,10547000
19596,World,OWID_WRL,2005,Feed,9643000
19597,World,OWID_WRL,2006,Feed,10309000
19598,World,OWID_WRL,2007,Feed,8670000
19599,World,OWID_WRL,2008,Feed,10250000
19600,World,OWID_WRL,2009,Feed,11270000
19601,World,OWID_WRL,2010,Feed,16909000
19602,World,OWID_WRL,2011,Feed,13830000
19603,World,OWID_WRL,2012,Feed,12955000
19604,World,OWID_WRL,2013,Feed,17478000
29449,World,OWID_WRL,1961,Processing,17086000
29450,World,OWID_WRL,1962,Processing,18487000
29451,World,OWID_WRL,1963,Processing,20240000
29452,World,OWID_WRL,1964,Processing,19927000
29453,World,OWID_WRL,1965,Processing,21814000
29454,World,OWID_WRL,1966,Processing,24715000
29455,World,OWID_WRL,1967,Processing,26147000
29456,World,OWID_WRL,1968,Processing,26756000
29457,World,OWID_WRL,1969,Processing,28679000
29458,World,OWID_WRL,1970,Processing,35646000
29459,World,OWID_WRL,1971,Processing,37229000
29460,World,OWID_WRL,1972,Processing,37352000
29461,World,OWID_WRL,1973,Processing,39502000
29462,World,OWID_WRL,1974,Processing,46650000
29463,World,OWID_WRL,1975,Processing,44659000
29464,World,OWID_WRL,1976,Processing,54101000
29465,World,OWID_WRL,1977,Processing,53401000
29466,World,OWID_WRL,1978,Processing,61278000
29467,World,OWID_WRL,1979,Processing,66197000
29468,World,OWID_WRL,1980,Processing,73693000
29469,World,OWID_WRL,1981,Processing,72336000
29470,World,OWID_WRL,1982,Processing,75162000
29471,World,OWID_WRL,1983,Processing,77419000
29472,World,OWID_WRL,1984,Processing,73105000
29473,World,OWID_WRL,1985,Processing,77675000
29474,World,OWID_WRL,1986,Processing,79036000
29475,World,OWID_WRL,1987,Processing,86571000
29476,World,OWID_WRL,1988,Processing,85938000
29477,World,OWID_WRL,1989,Processing,83648000
29478,World,OWID_WRL,1990,Processing,88331000
29479,World,OWID_WRL,1991,Processing,88076000
29480,World,OWID_WRL,1992,Processing,94727000
29481,World,OWID_WRL,1993,Processing,99009000
29482,World,OWID_WRL,1994,Processing,102271000
29483,World,OWID_WRL,1995,Processing,110994000
29484,World,OWID_WRL,1996,Processing,113489000
29485,World,OWID_WRL,1997,Processing,116166000
29486,World,OWID_WRL,1998,Processing,131776000
29487,World,OWID_WRL,1999,Processing,135744000
29488,World,OWID_WRL,2000,Processing,138481000
29489,World,OWID_WRL,2001,Processing,149793000
29490,World,OWID_WRL,2002,Processing,155742000
29491,World,OWID_WRL,2003,Processing,165850000
29492,World,OWID_WRL,2004,Processing,168927000
29493,World,OWID_WRL,2005,Processing,181909000
29494,World,OWID_WRL,2006,Processing,187931000
29495,World,OWID_WRL,2007,Processing,200682000
29496,World,OWID_WRL,2008,Processing,193289000
29497,World,OWID_WRL,2009,Processing,194567000
29498,World,OWID_WRL,2010,Processing,217269000
29499,World,OWID_WRL,2011,Processing,224833000
29500,World,OWID_WRL,2012,Processing,224333000
29501,World,OWID_WRL,2013,Processing,227311000
